,0
2-166_split_0,354
2-166_split_3,1488
2-167_split_1,858
2-167_split_4,1192
2-170_split_2,665
2-170_split_3,950
2-171_split_3,1685
2-171_split_4,116
2-172_split_1,939
2-172_split_3,1455
2-173_split_0,383
2-173_split_4,770
2-174_split_1,973
2-174_split_2,1372
2-174_split_4,1145
2-175_split_0,149
2-175_split_2,1780
2-176_split_3,1409
2-177_split_1,1924
2-177_split_2,367
2-179_split_1,261
2-179_split_2,1745
2-181_split_3,941
2-181_split_4,1109
2-182_split_3,118
2-183_split_0,478
2-183_split_1,692
2-184_split_3,441
2-184_split_4,2687
2-185_split_0,1649
2-185_split_4,549
2-186_split_0,1292
2-186_split_4,577
2-187_split_3,1777
2-187_split_4,597
2-188_split_2,1092
2-189_split_3,1132
2-189_split_4,1489
2-190_split_0,1700
2-190_split_2,959
2-191_split_0,1050
2-191_split_3,546
2-193_split_1,2239
2-196_split_0,780
2-196_split_3,2021
2-197_split_2,874
2-197_split_4,1932
2-198_split_0,159
2-198_split_3,2148
2-199_split_2,568
2-199_split_3,203
2-199_split_4,393
3-0_split_1,27
3-0_split_3,91
3-2_split_1,45
3-3_split_1,3
3-3_split_3,25
3-5_split_1,16
3-7_split_2,22
3-12_split_0,68
3-12_split_3,54
3-13_split_0,27
3-14_split_0,47
3-14_split_2,12
3-18_split_2,106
3-19_split_2,17
3-19_split_4,15
3-22_split_0,45
3-22_split_2,31
3-29_split_0,109
3-29_split_4,26
3-30_split_3,54
3-31_split_0,89
3-31_split_2,5
3-34_split_0,66
3-35_split_2,72
3-38_split_2,115
3-40_split_2,40
3-40_split_3,44
3-42_split_4,49
3-43_split_2,155
3-44_split_1,9
3-44_split_3,44
3-46_split_2,76
3-48_split_1,11
3-48_split_4,26
3-50_split_2,89
3-55_split_2,78
3-58_split_0,78
3-59_split_2,21
3-59_split_4,122
3-62_split_0,71
3-62_split_4,26
3-63_split_0,78
3-65_split_2,26
3-66_split_0,34
3-66_split_3,106
3-67_split_2,24
3-67_split_4,113
3-68_split_2,121
3-68_split_4,25
3-69_split_0,29
3-70_split_2,26
3-70_split_4,21
3-72_split_3,14
3-72_split_4,81
3-73_split_0,63
3-74_split_0,119
3-78_split_1,14
3-79_split_1,88
3-79_split_4,64
3-80_split_3,3
3-81_split_2,110
3-84_split_4,66
3-85_split_1,18
3-85_split_3,45
3-87_split_3,21
3-87_split_4,53
3-88_split_0,27
3-88_split_3,102
3-91_split_1,135
3-91_split_2,15
3-92_split_1,73
3-92_split_4,81
3-93_split_3,153
3-94_split_0,36
3-94_split_3,63
3-95_split_4,77
3-97_split_3,27
3-97_split_4,16
3-99_split_1,23
3-99_split_4,23
3-100_split_2,29
3-100_split_3,48
3-103_split_1,52
3-105_split_1,27
3-105_split_3,91
3-107_split_2,53
3-107_split_4,9
3-108_split_1,33
3-108_split_2,53
3-109_split_1,117
3-109_split_2,10
3-110_split_1,5
3-112_split_0,46
3-112_split_2,43
3-113_split_1,3
3-113_split_3,35
3-114_split_1,69
3-115_split_1,25
3-115_split_3,57
3-116_split_2,155
3-116_split_3,3
3-118_split_2,27
3-118_split_4,96
3-119_split_2,32
3-119_split_3,11
3-120_split_2,122
3-120_split_4,2
3-121_split_0,72
3-121_split_4,31
3-123_split_0,127
3-124_split_3,75
3-124_split_4,6
3-125_split_2,72
3-127_split_3,88
3-128_split_1,24
3-128_split_3,8
3-128_split_4,17
3-129_split_3,70
3-130_split_1,32
3-130_split_2,125
3-132_split_2,6
3-132_split_4,55
3-135_split_1,19
3-135_split_4,56
3-136_split_3,94
3-138_split_2,96
3-139_split_3,52
3-139_split_4,24
3-140_split_2,93
3-140_split_4,32
3-142_split_0,128
3-142_split_4,28
3-143_split_2,7
3-143_split_3,46
3-145_split_0,27
3-145_split_1,42
3-147_split_1,52
3-147_split_3,8
3-149_split_4,33
3-150_split_1,6
3-150_split_4,106
3-151_split_0,63
3-152_split_2,39
3-153_split_0,95
3-153_split_1,57
3-155_split_2,30
3-155_split_3,22
3-156_split_0,109
3-156_split_4,5
3-157_split_2,4
3-157_split_4,50
3-158_split_3,27
3-158_split_4,92
3-159_split_3,34
3-159_split_4,59
3-160_split_3,48
3-160_split_4,17
3-162_split_0,79
3-162_split_1,47
3-163_split_3,6
3-165_split_1,86
3-166_split_0,7
3-167_split_3,57
3-168_split_3,8
3-168_split_4,71
3-169_split_1,101
3-169_split_3,20
3-170_split_1,45
3-170_split_2,75
3-171_split_0,47
3-171_split_2,1
3-173_split_3,62
3-174_split_0,43
3-174_split_3,33
3-176_split_3,67
3-176_split_4,27
3-177_split_0,45
3-177_split_1,64
3-178_split_0,30
3-178_split_2,104
3-180_split_0,90
3-182_split_1,9
3-182_split_2,54
3-184_split_1,50
3-185_split_1,17
3-186_split_1,28
3-186_split_2,135
3-187_split_2,87
3-188_split_1,38
3-189_split_1,21
3-189_split_4,54
3-190_split_3,62
3-190_split_4,88
3-191_split_2,35
3-191_split_4,61
3-192_split_1,84
3-193_split_3,131
3-193_split_4,28
3-194_split_4,72
3-195_split_2,29
3-196_split_2,25
4-6_split_2,57
4-7_split_1,289
4-7_split_4,631
4-8_split_1,143
4-8_split_4,643
4-16_split_0,186
4-16_split_3,688
4-17_split_1,12
4-18_split_0,755
4-20_split_0,607
4-20_split_4,227
4-21_split_2,87
4-21_split_4,323
4-27_split_1,1040
4-29_split_1,43
4-29_split_4,145
4-35_split_1,599
4-35_split_2,172
4-37_split_0,303
4-37_split_1,895
4-38_split_0,556
4-38_split_2,782
4-39_split_1,974
4-39_split_3,186
4-41_split_0,289
4-42_split_0,192
4-42_split_1,431
4-42_split_3,210
4-43_split_2,20
4-43_split_3,43
4-44_split_1,1306
4-44_split_2,132
4-49_split_2,122
4-51_split_1,231
4-51_split_2,183
4-52_split_2,867
4-52_split_3,658
4-53_split_3,667
4-54_split_1,520
4-54_split_4,79
4-59_split_1,297
4-61_split_2,20
4-61_split_4,76
4-62_split_0,175
4-62_split_1,293
4-63_split_0,155
4-63_split_4,640
4-64_split_2,160
4-64_split_3,567
4-66_split_3,774
4-71_split_0,43
4-71_split_3,631
4-73_split_1,535
4-73_split_3,408
4-76_split_1,238
4-81_split_3,738
4-82_split_2,1037
4-83_split_2,1349
4-83_split_3,194
4-84_split_1,457
4-87_split_0,538
4-87_split_3,315
4-94_split_1,1130
4-94_split_2,116
4-94_split_4,338
4-95_split_4,227
4-96_split_2,649
4-96_split_4,180
4-97_split_2,679
4-97_split_3,60
4-98_split_0,154
4-98_split_1,691
4-101_split_0,568
4-101_split_3,175
4-101_split_4,196
4-102_split_2,388
4-102_split_3,882
4-106_split_2,411
4-106_split_3,521
4-109_split_0,201
4-109_split_2,1253
4-110_split_0,424
4-110_split_2,345
4-112_split_0,631
4-112_split_3,510
4-115_split_1,597
4-115_split_4,684
4-120_split_0,425
4-120_split_2,117
4-125_split_0,693
4-125_split_1,282
4-126_split_4,628
4-128_split_2,259
4-128_split_3,388
4-129_split_0,299
4-130_split_2,1143
4-130_split_3,198
4-132_split_3,633
4-134_split_4,465
4-135_split_0,97
4-135_split_2,268
4-137_split_0,187
4-137_split_4,382
4-138_split_2,291
4-138_split_4,499
4-139_split_0,402
4-139_split_1,251
4-139_split_2,394
4-141_split_1,666
4-141_split_4,198
4-143_split_0,94
4-143_split_1,88
4-144_split_1,412
4-144_split_4,325
4-145_split_0,421
4-145_split_3,243
4-146_split_2,209
4-146_split_3,759
4-147_split_0,570
4-148_split_1,424
4-149_split_3,473
4-151_split_0,464
4-151_split_3,325
4-152_split_3,176
4-153_split_0,287
4-153_split_4,303
4-154_split_1,351
4-154_split_2,651
4-154_split_3,102
4-155_split_2,196
4-155_split_4,559
4-157_split_2,305
4-157_split_4,501
4-160_split_0,24
4-160_split_2,261
4-161_split_2,604
4-161_split_4,118
4-163_split_0,234
4-163_split_4,833
4-164_split_4,398
4-165_split_1,1141
4-165_split_4,137
4-166_split_0,337
4-166_split_4,201
4-170_split_3,756
4-170_split_4,55
4-171_split_3,593
4-172_split_4,416
4-173_split_3,92
4-173_split_4,802
4-175_split_2,220
4-175_split_4,434
4-176_split_0,346
4-176_split_4,330
4-177_split_0,525
4-177_split_3,903
4-178_split_0,18
4-178_split_1,576
4-179_split_4,600
4-180_split_2,312
4-180_split_4,368
4-181_split_1,118
4-181_split_4,67
4-183_split_1,146
4-183_split_2,151
4-184_split_2,992
4-184_split_4,121
4-185_split_1,455
4-185_split_4,237
4-186_split_1,544
4-186_split_3,286
4-189_split_0,134
4-189_split_1,301
4-189_split_3,619
4-190_split_1,228
4-190_split_2,531
4-192_split_0,516
4-192_split_4,520
4-193_split_0,164
4-193_split_4,465
4-195_split_1,560
4-195_split_3,243
4-196_split_0,110
4-196_split_3,20
4-197_split_0,65
4-197_split_1,51
4-198_split_3,771
4-198_split_4,419
5-1_split_0,8
5-1_split_4,96
5-2_split_1,131
5-2_split_3,181
5-6_split_0,36
5-7_split_0,23
5-7_split_1,48
5-10_split_0,160
5-10_split_3,397
5-11_split_1,34
5-11_split_3,306
5-13_split_2,206
5-14_split_2,21
5-14_split_4,95
5-15_split_0,319
5-15_split_3,42
5-16_split_0,261
5-17_split_0,321
5-17_split_2,254
5-18_split_2,42
5-18_split_3,188
5-19_split_0,294
5-20_split_1,83
5-20_split_3,86
5-21_split_1,312
5-22_split_2,250
5-22_split_3,111
5-24_split_0,86
5-24_split_4,351
5-26_split_2,225
5-26_split_4,168
5-27_split_3,139
5-29_split_2,88
5-31_split_1,92
5-31_split_2,170
5-35_split_3,324
5-37_split_2,95
5-37_split_3,326
5-38_split_2,292
5-41_split_3,430
5-41_split_4,63
5-43_split_2,62
5-43_split_3,192
5-44_split_1,289
5-45_split_0,170
5-45_split_3,245
5-49_split_3,395
5-50_split_1,377
5-50_split_2,136
5-52_split_0,45
5-52_split_3,455
5-53_split_0,102
5-53_split_1,151
5-56_split_0,47
5-56_split_2,140
5-56_split_3,433
5-58_split_1,115
5-58_split_3,101
5-60_split_0,442
5-60_split_2,106
5-61_split_1,119
5-61_split_4,190
5-62_split_0,216
5-62_split_1,88
5-62_split_2,168
5-63_split_0,82
5-63_split_1,324
5-63_split_2,43
5-65_split_3,87
5-65_split_4,182
5-66_split_0,150
5-66_split_3,159
5-67_split_1,99
5-67_split_3,538
5-68_split_4,367
5-70_split_1,137
5-71_split_1,277
5-71_split_2,188
5-72_split_2,31
5-72_split_3,270
5-73_split_1,134
5-73_split_4,43
5-76_split_1,13
5-76_split_3,640
5-78_split_2,186
5-78_split_4,56
5-80_split_2,199
5-80_split_3,181
5-83_split_1,155
5-83_split_2,312
5-85_split_2,92
5-85_split_4,89
5-86_split_2,295
5-86_split_4,230
5-87_split_2,497
5-88_split_0,91
5-88_split_2,201
5-91_split_2,409
5-92_split_1,43
5-92_split_3,625
5-93_split_0,5
5-93_split_1,254
5-96_split_0,258
5-96_split_1,327
5-97_split_1,248
5-98_split_2,159
5-98_split_3,60
5-99_split_0,398
5-99_split_2,148
5-102_split_1,362
5-104_split_0,253
5-105_split_2,380
5-105_split_4,34
5-106_split_0,89
5-106_split_3,135
5-107_split_0,149
5-107_split_2,184
5-108_split_2,489
5-108_split_3,98
5-109_split_0,204
5-109_split_1,495
5-110_split_0,270
5-110_split_3,23
5-111_split_1,226
5-111_split_2,348
5-113_split_3,31
5-113_split_4,24
5-114_split_0,137
5-114_split_3,262
5-115_split_1,84
5-115_split_3,381
5-116_split_3,252
5-116_split_4,227
5-117_split_1,82
5-118_split_2,462
5-118_split_4,81
5-119_split_4,290
5-120_split_0,204
5-120_split_1,157
5-121_split_1,277
5-121_split_4,163
5-122_split_0,559
5-122_split_2,6
5-126_split_2,61
5-126_split_3,39
5-127_split_1,348
5-127_split_2,183
5-127_split_4,74
5-128_split_0,293
5-128_split_4,237
5-129_split_2,87
5-129_split_3,157
5-130_split_0,558
5-130_split_1,58
5-130_split_4,94
5-131_split_4,295
5-134_split_3,160
5-136_split_0,145
5-136_split_4,157
5-140_split_2,158
5-140_split_3,335
5-142_split_0,74
5-142_split_1,154
5-143_split_4,82
5-144_split_0,62
5-144_split_1,587
5-146_split_0,346
5-146_split_2,61
5-149_split_0,154
5-149_split_2,63
5-151_split_0,201
5-151_split_4,79
5-152_split_1,259
5-152_split_4,273
5-154_split_0,11
5-154_split_1,59
5-155_split_3,64
5-155_split_4,134
5-156_split_1,80
5-156_split_2,83
5-156_split_4,275
5-157_split_0,273
5-157_split_3,92
5-158_split_2,59
5-158_split_3,58
5-159_split_2,135
5-160_split_0,158
