,mean,min,max
200,1902.5,922.0,2883.0
201,1197.0,829.0,1565.0
202,1763.0,382.0,3144.0
203,4982.0,1696.0,8268.0
204,4987.0,900.0,9074.0
205,565.0,303.0,827.0
206,1137.5,865.0,1410.0
207,2654.0,1389.0,3919.0
208,1327.0,1010.0,1644.0
209,301.5,0.0,603.0
210,843.0,520.0,1166.0
211,40.5,0.0,81.0
212,4942.0,3233.0,6651.0
213,1065.5,188.0,1943.0
214,32.5,0.0,65.0
215,408.0,402.0,414.0
216,2358.5,1641.0,3076.0
217,605.0,266.0,944.0
218,128.0,51.0,205.0
219,954.0,369.0,1539.0
220,4198.0,2663.0,5733.0
221,3205.5,1975.0,4436.0
222,1702.0,1382.0,2022.0
223,266.0,47.0,485.0
224,2770.5,1662.0,3879.0
225,1723.5,637.0,2810.0
226,3330.5,1721.0,4940.0
227,3397.5,1353.0,5442.0
228,1584.0,509.0,2659.0
229,565.0,53.0,1077.0
230,4990.5,1091.0,8890.0
231,4448.0,588.0,8308.0
232,785.0,205.0,1365.0
233,4466.0,703.0,8229.0
234,4993.5,4533.0,5454.0
235,3253.5,972.0,5535.0
236,2380.0,945.0,3815.0
237,3352.0,1683.0,5021.0
238,1018.5,822.0,1215.0
239,3470.5,3460.0,3481.0
240,4975.5,3327.0,6624.0
241,4993.0,2639.0,7347.0
242,2291.5,1736.0,2847.0
243,156.0,12.0,300.0
244,4968.5,2749.0,7188.0
245,1188.5,232.0,2145.0
246,4987.5,692.0,9283.0
247,1979.5,1038.0,2921.0
248,3035.5,727.0,5344.0
249,1470.0,864.0,2076.0
250,2761.0,2656.0,2866.0
251,4068.0,2251.0,5885.0
252,25.5,0.0,51.0
253,602.5,184.0,1021.0
254,2737.0,334.0,5140.0
255,4991.5,185.0,9798.0
256,4966.5,770.0,9163.0
257,251.5,101.0,402.0
258,45.5,2.0,89.0
259,4981.5,2214.0,7749.0
260,152.5,0.0,305.0
261,2946.0,848.0,5044.0
262,1152.0,897.0,1407.0
263,1669.5,909.0,2430.0
264,4980.5,2103.0,7858.0
265,2171.5,2135.0,2208.0
266,1347.0,367.0,2327.0
267,2574.0,2536.0,2612.0
268,372.5,255.0,490.0
269,2902.5,1074.0,4731.0
270,2554.5,1450.0,3659.0
271,4967.0,2336.0,7598.0
272,4268.0,1407.0,7129.0
273,4936.5,2157.0,7716.0
274,2677.0,375.0,4979.0
275,1566.0,106.0,3026.0
276,4922.0,3114.0,6730.0
277,196.5,167.0,226.0
278,517.5,169.0,866.0
279,1097.0,257.0,1937.0
280,4992.0,1842.0,8142.0
281,179.0,22.0,336.0
282,2481.0,1431.0,3531.0
283,3205.5,3058.0,3353.0
284,1370.5,744.0,1997.0
285,4979.0,913.0,9045.0
286,2198.0,1821.0,2575.0
287,2391.5,2191.0,2592.0
288,323.0,44.0,602.0
289,2075.0,1739.0,2411.0
290,2196.5,972.0,3421.0
291,3365.0,210.0,6520.0
292,4404.5,3176.0,5633.0
293,1395.0,151.0,2639.0
294,4991.0,4334.0,5648.0
295,503.5,0.0,1007.0
296,599.0,169.0,1029.0
297,4994.5,3640.0,6349.0
298,2871.5,348.0,5395.0
299,85.5,76.0,95.0
300,113.0,101.0,125.0
301,1965.5,175.0,3756.0
302,3705.0,235.0,7175.0
303,4985.0,317.0,9653.0
304,1827.5,1093.0,2562.0
305,2997.0,1994.0,4000.0
306,488.0,417.0,559.0
307,463.5,393.0,534.0
308,72.5,45.0,100.0
309,729.0,605.0,853.0
310,56.0,0.0,112.0
311,2324.0,2186.0,2462.0
312,1163.5,1043.0,1284.0
313,459.0,277.0,641.0
314,4975.5,425.0,9526.0
315,2173.5,1639.0,2708.0
316,2514.5,784.0,4245.0
317,1533.0,1095.0,1971.0
318,4964.0,2397.0,7531.0
319,4978.5,3249.0,6708.0
320,303.5,190.0,417.0
321,2845.0,2640.0,3050.0
322,771.5,318.0,1225.0
323,4980.5,4631.0,5330.0
324,2932.0,2373.0,3491.0
325,4795.5,2949.0,6642.0
326,4969.5,1232.0,8707.0
327,720.5,635.0,806.0
328,1686.5,1103.0,2270.0
329,478.5,191.0,766.0
330,257.0,224.0,290.0
331,4977.0,502.0,9452.0
332,62.0,26.0,98.0
333,1171.0,978.0,1364.0
334,1687.0,849.0,2525.0
335,47.5,22.0,73.0
336,2304.0,1623.0,2985.0
337,4899.0,4409.0,5389.0
338,704.5,199.0,1210.0
339,1183.5,0.0,2367.0
340,4988.0,2636.0,7340.0
341,1736.5,1062.0,2411.0
342,3785.0,544.0,7026.0
343,3914.0,1012.0,6816.0
344,4984.0,844.0,9124.0
345,4988.0,4193.0,5783.0
346,492.0,311.0,673.0
347,48.0,16.0,80.0
348,3266.5,481.0,6052.0
349,1892.5,634.0,3151.0
350,3641.0,178.0,7104.0
351,83.5,0.0,167.0
352,3610.5,2370.0,4851.0
353,72.0,0.0,144.0
354,626.5,533.0,720.0
355,4671.0,1163.0,8179.0
356,138.0,94.0,182.0
357,182.0,51.0,313.0
358,4123.0,1412.0,6834.0
359,4989.0,2303.0,7675.0
360,1410.0,96.0,2724.0
361,1567.5,992.0,2143.0
362,1898.5,879.0,2918.0
363,1480.0,1156.0,1804.0
364,232.5,211.0,254.0
365,4979.5,3638.0,6321.0
366,268.5,224.0,313.0
367,1560.5,312.0,2809.0
368,1997.0,1762.0,2232.0
369,999.0,907.0,1091.0
370,3368.5,2237.0,4500.0
371,1343.0,357.0,2329.0
372,4992.5,3751.0,6234.0
373,2816.5,1414.0,4219.0
374,60.5,0.0,121.0
375,1291.0,201.0,2381.0
376,373.0,256.0,490.0
377,4049.0,1281.0,6817.0
378,4983.0,4860.0,5106.0
379,3229.5,965.0,5494.0
380,4988.5,478.0,9499.0
381,2264.5,1850.0,2679.0
382,4634.0,1647.0,7621.0
383,521.5,0.0,1043.0
384,4977.0,2201.0,7753.0
385,1646.5,1344.0,1949.0
