,mean,min,max
32-176,597.4,239.0,1060.0
32-177,607.8,193.0,856.0
32-178,612.8,211.0,849.0
32-179,255.0,22.0,762.0
32-180,1277.2,198.0,3443.0
32-181,1293.2,251.0,2356.0
32-182,530.8,110.0,1360.0
32-183,1971.2,839.0,3694.0
32-184,1299.0,353.0,3513.0
32-185,1316.4,305.0,3808.0
32-186,1326.2,50.0,1856.0
32-187,1278.6,342.0,2756.0
32-188,1301.8,560.0,2188.0
32-189,1314.2,786.0,1815.0
32-190,1297.6,637.0,2423.0
32-191,1291.4,231.0,3592.0
32-192,1294.0,507.0,2470.0
32-193,1289.2,852.0,2257.0
32-194,1264.8,332.0,2658.0
32-195,1312.0,143.0,4549.0
32-196,1300.4,509.0,3649.0
32-197,1273.2,143.0,3191.0
32-198,1287.2,417.0,2126.0
33--1,1264.4,323.0,3477.0
33-0,1147.8,185.0,3441.0
33-1,1526.2,155.0,2178.0
33-2,1112.6,112.0,2885.0
33-3,1129.6,538.0,2069.0
33-4,1294.2,463.0,1881.0
33-5,1252.6,463.0,2028.0
33-6,1341.2,250.0,2093.0
33-7,1968.6,433.0,4901.0
33-8,1174.0,124.0,2187.0
33-9,1968.2,677.0,4187.0
33-10,1259.4,627.0,1919.0
33-11,961.2,335.0,1723.0
33-12,1903.8,135.0,6215.0
33-13,55.2,0.0,136.0
33-14,1964.8,177.0,5991.0
33-15,1971.8,368.0,4348.0
33-16,572.4,190.0,942.0
33-17,1527.8,370.0,3538.0
33-18,1270.4,222.0,4275.0
33-19,1303.2,320.0,3691.0
33-20,1991.0,378.0,4161.0
33-21,1992.4,194.0,7290.0
33-22,1976.0,422.0,3631.0
33-23,1991.8,1160.0,3990.0
33-24,1976.6,49.0,4028.0
33-25,488.0,64.0,1389.0
33-26,1978.2,184.0,4168.0
33-27,1991.0,151.0,2923.0
33-28,1991.8,446.0,6299.0
33-29,1992.4,118.0,4484.0
33-30,1991.2,248.0,4002.0
33-31,413.2,204.0,863.0
33-32,1976.0,1089.0,3649.0
33-33,1988.6,330.0,3597.0
33-34,1981.0,332.0,4434.0
33-35,1990.2,281.0,3163.0
33-36,1976.8,928.0,3486.0
33-37,1991.8,480.0,4856.0
33-38,1988.4,137.0,6857.0
33-39,1991.0,729.0,5928.0
33-40,1224.8,225.0,2754.0
33-41,1921.8,666.0,4848.0
33-42,1968.0,514.0,3003.0
33-43,1459.6,472.0,2124.0
33-44,563.6,217.0,1188.0
33-45,1154.2,541.0,1746.0
33-46,1246.0,146.0,2254.0
33-47,1816.4,686.0,3284.0
33-48,1447.0,775.0,2107.0
33-49,1972.8,620.0,3843.0
33-50,661.4,64.0,1263.0
33-51,1143.6,165.0,2846.0
33-52,1967.0,821.0,5347.0
33-53,745.4,168.0,1486.0
33-54,1253.0,317.0,2290.0
33-55,1089.0,233.0,1928.0
33-56,1128.6,733.0,2045.0
33-57,1262.0,115.0,2475.0
33-58,1849.8,704.0,4158.0
33-59,1966.8,846.0,3922.0
33-60,1976.6,339.0,5325.0
33-61,1983.0,657.0,3414.0
33-62,1976.0,249.0,3536.0
33-63,1974.8,760.0,3510.0
33-64,1989.4,1352.0,2548.0
33-65,1988.4,503.0,5726.0
33-66,1988.4,37.0,5525.0
33-67,1975.6,151.0,3987.0
33-68,1983.4,45.0,3206.0
33-69,1877.4,190.0,3711.0
33-70,1882.0,675.0,4538.0
33-71,153.8,78.0,260.0
33-72,1988.6,133.0,6117.0
33-73,1978.8,68.0,3821.0
33-74,1967.4,566.0,4126.0
33-75,1989.4,278.0,4082.0
33-76,1890.0,654.0,3801.0
33-77,1989.2,374.0,6728.0
33-78,1983.4,91.0,6293.0
33-79,1985.6,488.0,3322.0
33-80,1986.6,348.0,3209.0
33-81,1986.8,634.0,3437.0
33-82,1985.6,198.0,4034.0
33-83,1976.8,849.0,3682.0
33-84,1612.4,47.0,3548.0
33-85,1984.2,446.0,3972.0
33-86,1987.2,355.0,4327.0
33-87,1973.8,441.0,5019.0
33-88,361.8,192.0,597.0
33-89,1987.6,455.0,3453.0
33-90,1985.4,199.0,3254.0
33-91,1988.0,119.0,5742.0
33-92,1987.6,42.0,3850.0
33-93,1978.4,435.0,4801.0
33-94,1987.6,64.0,4376.0
33-95,1983.2,924.0,2717.0
33-96,1983.8,505.0,3598.0
33-97,1971.8,711.0,5602.0
33-98,1981.4,629.0,5959.0
33-99,642.0,217.0,1196.0
33-100,1982.6,412.0,5552.0
33-101,1977.6,1007.0,4243.0
33-102,1986.6,285.0,5107.0
33-103,1986.6,461.0,3049.0
33-104,1977.2,450.0,4032.0
33-105,1980.0,0.0,7058.0
33-106,1975.6,282.0,3761.0
33-107,1976.8,705.0,3231.0
33-108,1984.4,562.0,3832.0
33-109,1976.6,347.0,3266.0
33-110,1737.2,63.0,7223.0
33-111,523.8,233.0,678.0
33-112,1986.6,339.0,4208.0
33-113,1987.0,649.0,3952.0
33-114,1987.6,310.0,3198.0
33-115,1987.6,533.0,5855.0
33-116,1986.4,619.0,3549.0
33-117,1987.8,1220.0,4366.0
33-118,1987.6,888.0,4674.0
33-119,571.8,74.0,1004.0
33-120,1981.8,992.0,3274.0
33-121,1566.4,512.0,2371.0
33-122,1704.2,591.0,2950.0
33-123,1562.6,142.0,3652.0
33-124,1984.8,149.0,4942.0
33-125,1663.0,172.0,2828.0
33-126,1904.2,449.0,3076.0
33-127,83.2,0.0,148.0
33-128,1574.8,249.0,3762.0
33-129,1702.6,76.0,4083.0
33-130,1697.0,76.0,4553.0
33-131,1621.0,154.0,3008.0
33-132,1707.8,544.0,3443.0
