,mean,min,max
0--1,11.386983921332243,0.0,70.9012966904171
0-0,12.954809128786016,3.083324241609425,39.671
0-1,6.4688,3.737,10.426
0-2,14.661609071518553,0.04800000000000049,34.541572678796385
0-3,3.8722825014200066,0.5495000000000001,9.027
0-4,18.22497862467618,2.0654999999999983,36.518929411595344
0-5,8.247300000000001,0.0,31.769500000000004
0-6,4.418346897246293,0.48600000000000154,7.834207080607266
0-7,11.776238981184484,3.2859999999999996,17.477194905922428
0-8,3.585781064057219,0.0,8.788999999999998
0-9,4.3741008033848345,0.0,8.249999999999998
0-10,3.555217610478215,1.032,8.276499999999999
0-11,6.713639794839827,0.0,12.946
0-12,5.547310523877392,1.7205000000000004,8.264
0-13,15.356048146157457,1.3699999999999988,34.36235196041476
0-14,5.698537152844828,2.3625,11.22
0-15,6.048364873734606,0.8765510253700892,10.940344814752898
0-16,6.171921616846942,2.6245341837843936,10.210886950225156
0-17,4.124433196527964,0.875,7.981
0-18,5.555320860095025,3.4225000000000003,9.104104300475122
0-19,25.950792574244435,0.016499999999999737,63.13276815808068
0-20,8.186264701457844,1.1435,14.13066175364461
0-21,2.6567,0.0,6.677
0-22,5.484329946483225,0.0,11.235
0-23,3.8936745431782036,1.3575,7.2895
0-24,1.8861629194347638,0.1339999999999999,7.551499999999999
0-25,9.061683825904165,0.0,27.0025
0-26,4.99451059928929,3.9310271648168835,6.347525831629566
0-27,11.149605683209709,2.1199999999999997,18.9125
0-28,3.805990621419549,0.7189067994528422,6.611179136046811
0-29,5.3930906580434845,1.297995606409934,9.898
0-30,5.610362966143107,2.305500000000001,9.2145
0-31,4.0175668983682,0.1405000000000003,6.909122033191134
0-32,4.949915305105583,0.0,9.625499999999999
0-33,6.481787943911045,3.641379691451754,11.438
0-34,3.7131299812220107,0.0,5.862
0-35,6.781628742284692,3.653500000000001,10.4
0-36,4.800424906211955,0.5599112504679242,8.189500000000002
0-37,7.924354745110162,1.583499999999999,17.798993452913784
0-38,5.183063291556453,0.8895,12.9185
0-39,26.661633274943892,0.2675000000000005,65.06460470027838
0-40,26.238865549871882,6.8535,35.04550000000001
0-41,7.09576533254541,3.4849999999999977,11.377477688097139
0-42,6.413326758821262,2.7406614922280186,9.471499999999999
0-43,5.145727951367116,2.2315000000000005,8.404604623447922
0-44,5.527553385369365,1.202,9.376266926846823
0-45,7.961161926369526,3.123500000000001,11.209999999999999
0-46,5.403034402109851,2.5149999999999997,7.886119577067089
0-47,22.30063819402549,1.671000000000003,43.715500000000006
