,mean,min,max
0--1,15.83997240328475,0.0,70.9377656758561
0-0,19.895249999999997,0.15549999999999997,39.635
0-1,10.082986869383536,9.9215,10.24447373876707
0-2,32.55394290453175,30.566000000000003,34.5418858090635
0-3,5.022716720893845,1.022933441787691,9.022499999999999
0-4,33.81528006622672,31.056000000000004,36.57456013245343
0-5,16.293785459961445,0.8195709199228869,31.768
0-6,6.904650875890512,5.894500000000001,7.914801751781024
0-7,15.804198475910542,14.116499999999998,17.491896951821087
0-8,6.198610183060429,3.8465,8.55072036612086
0-9,5.9251734831351115,3.585346966270224,8.264999999999999
0-10,4.1735,0.0705000000000009,8.276499999999999
0-11,7.146000000000001,1.3440000000000012,12.948
0-12,8.291880303073599,7.7577606061471975,8.826
0-13,32.42188051065303,30.01476102130606,34.82900000000001
0-14,6.01622523890426,0.7759504778085216,11.256499999999999
0-15,7.263720155794629,3.4049999999999994,11.122440311589258
0-16,6.501828541524963,2.480157083049926,10.5235
0-17,4.5455000000000005,1.1029999999999998,7.988
0-18,6.044,2.7699999999999996,9.318
0-19,33.279033881962214,2.6585,63.89956776392443
0-20,14.22674939989458,14.020498799789157,14.433
0-21,3.6037500000000002,0.5410000000000004,6.6665
0-22,10.1065,8.978000000000002,11.235
0-23,4.782,3.8884999999999996,5.6755
0-24,7.0355,6.5145,7.5565
0-25,21.7965,16.587000000000003,27.006
0-26,5.6697500000000005,3.840000000000001,7.4995
0-27,14.994251474482551,13.903002948965103,16.0855
0-28,3.377,0.0,6.754
0-29,4.9545,0.0,9.909
0-30,7.275771469383991,5.577,8.974542938767982
0-31,5.45325,3.8775,7.029
0-32,9.370249999999999,9.088,9.6525
0-33,11.097249999999999,10.764999999999999,11.4295
0-34,4.36825,0.8564999999999992,7.88
0-35,9.888265968313888,9.587532408537317,10.188999528090458
0-36,5.203000000000001,2.21,8.196000000000002
0-37,14.285862266718729,10.762224533437454,17.809500000000003
0-38,8.111999999999998,1.077999999999998,15.145999999999999
0-39,64.6485,64.0755,65.22149999999999
0-40,21.01825,2.6259999999999994,39.4105
0-41,8.1968,5.086499999999999,11.307100000000002
0-42,7.738755655486463,5.760000000000001,9.717511310972924
0-43,6.329050481376488,4.086000000000001,8.572100962752973
0-44,8.04325,6.555,9.5315
0-45,10.769298267031363,10.293,11.245596534062729
0-46,6.0104999999999995,4.020999999999999,8.0
0-47,31.06811018306043,15.225000000000001,46.91122036612086
0-48,31.503249999999998,12.581499999999998,50.425
0-49,7.238585779735862,2.376671559471724,12.1005
0-50,6.922749999999999,4.084499999999998,9.761000000000001
0-51,9.077957601565236,8.299557601565237,9.856357601565236
0-52,19.92725,2.2495000000000003,37.605000000000004
0-53,8.083,5.8145,10.3515
0-54,8.85475,6.1035,11.606
0-55,48.89992577262238,40.80630207462375,56.99354947062101
0-56,9.85026450296758,5.685529005935159,14.015
0-57,6.68025,4.990499999999999,8.370000000000001
0-58,55.509,54.608000000000004,56.41
0-59,48.41404267729326,43.483,53.34508535458652
0-60,6.1795,0.14400000000000013,12.215
0-61,9.048154543136246,3.279309086272491,14.817000000000002
0-62,9.659317699929769,9.415417699929769,9.90321769992977
0-63,35.69212645199492,30.06325290398985,41.321
0-64,17.5795,0.02200000000000024,35.137
0-65,6.363,5.9405,6.785500000000001
0-66,4.2575,0.09049999999999958,8.4245
0-67,5.570000000000001,1.6850000000000005,9.455000000000002
0-68,6.7355,5.9555,7.515499999999999
0-69,30.129997054315204,27.902,32.35799410863041
0-70,9.614,7.758,11.47
0-71,4.5625,0.8149999999999995,8.31
0-72,4.467499999999999,0.05350000000000055,8.881499999999999
0-73,25.03306642417141,16.283632848342815,33.782500000000006
0-74,36.27675,36.1105,36.443
0-75,8.691,1.2515,16.1305
0-76,17.89165048999099,17.673800979981984,18.109499999999997
0-77,8.350000000000001,3.3790000000000004,13.321000000000002
0-78,4.1545000000000005,0.0,8.309000000000001
0-79,36.42757085516435,36.2651417103287,36.589999999999996
0-80,8.98852240453428,5.9635,12.013544809068557
0-81,5.0409999999999995,0.0,10.081999999999999
0-82,9.519750000000002,9.160000000000002,9.8795
0-83,28.91394625015871,6.4325,51.39539250031742
0-84,8.01075,3.6064999999999996,12.415000000000001
0-85,19.4055,0.14550000000000018,38.6655
0-86,7.5817499999999995,7.25,7.9135
0-87,26.65306278482343,0.3754999999999997,52.93062556964686
0-88,6.298172234222854,3.423344468445708,9.173
0-89,14.669,14.594,14.744
0-90,35.58,34.5015,36.6585
0-91,6.733499999999999,3.402,10.065
0-92,7.806000000000001,6.1850000000000005,9.427000000000001
0-93,37.220413136748455,36.97482627349691,37.466
0-94,5.231542711847577,0.38808542369515386,10.075
0-95,8.12225,7.940999999999999,8.3035
0-96,12.433261847953423,11.819023695906846,13.0475
0-97,6.081249999999999,1.8699999999999983,10.292499999999999
0-98,11.328049999999998,10.124999999999998,12.531099999999999
0-99,61.58455309618229,61.305499999999995,61.86360619236458
0-100,41.13586791252618,40.64073582505237,41.631
0-101,7.60575,3.9779999999999998,11.2335
0-102,7.644799999999999,5.473099999999999,9.8165
0-103,7.838,7.664999999999999,8.011000000000001
0-104,5.1135,1.4684999999999997,8.7585
0-105,10.52625,8.018,13.034499999999998
0-106,7.7649856636610775,6.975471327322151,8.554500000000003
0-107,10.007,9.724,10.29
0-108,19.9085,2.1419999999999986,37.675000000000004
0-109,37.17936341651439,36.96722683302878,37.39149999999999
0-110,4.170999999999999,2.2775,6.064499999999999
0-111,23.883678721846035,8.67535744369208,39.09199999999999
0-112,8.348749999999999,4.965999999999999,11.731499999999999
0-113,5.473823860997254,3.7454999999999985,7.20214772199451
