,0
0-0_split_0,2589
0-0_split_1,1806
0-0_split_3,6
0-0_split_4,4
0-1_split_0,1432
0-1_split_1,4
0-1_split_2,1048
0-1_split_3,1104
0-1_split_4,6
0-2_split_0,6
0-2_split_3,4
0-3_split_1,2840
0-3_split_2,4
0-3_split_3,6
0-4_split_0,6
0-4_split_1,22
0-4_split_2,312
0-4_split_3,4
0-4_split_4,435
0-5_split_0,6
0-5_split_2,4
0-6_split_0,6
0-6_split_3,4
0-7_split_1,4
0-7_split_4,6
0-8_split_0,35
0-8_split_1,38
0-8_split_2,109
0-8_split_3,50
0-9_split_0,13
0-9_split_1,522
0-9_split_4,10
0-10_split_0,7
0-10_split_1,1623
0-10_split_2,2020
0-10_split_3,6
0-10_split_4,1970
0-11_split_0,6
0-11_split_1,570
0-11_split_2,114
0-11_split_3,284
0-11_split_4,4
0-12_split_0,7
0-12_split_1,329
0-12_split_2,362
0-12_split_3,1318
0-12_split_4,6
0-13_split_0,423
0-13_split_1,391
0-13_split_2,4
0-13_split_3,6
0-13_split_4,2661
0-14_split_0,383
0-14_split_1,1543
0-14_split_2,6
0-14_split_3,328
0-14_split_4,4
0-15_split_0,14
0-15_split_1,1426
0-15_split_2,1939
0-15_split_4,7
0-16_split_0,16
0-16_split_1,39
0-16_split_2,74
0-16_split_3,207
0-16_split_4,18
0-17_split_1,5
0-17_split_2,4
0-18_split_0,5
0-18_split_1,255
0-18_split_2,455
0-18_split_3,21
0-18_split_4,2
0-19_split_2,182
0-19_split_4,199
0-20_split_1,6
0-20_split_2,4
0-20_split_3,184
0-21_split_0,650
0-21_split_1,3592
0-21_split_3,1325
0-21_split_4,28
0-22_split_0,262
0-22_split_1,5
0-22_split_2,586
0-22_split_3,73
0-22_split_4,4
0-23_split_0,8
0-23_split_4,13
0-24_split_0,6
0-24_split_1,4
0-24_split_2,150
0-24_split_3,15
0-24_split_4,947
0-25_split_0,3
0-25_split_2,2
0-26_split_0,170
0-26_split_1,236
0-26_split_2,3
0-26_split_3,88
0-26_split_4,3
0-27_split_0,1923
0-27_split_1,4
0-27_split_2,6
0-27_split_3,1241
0-27_split_4,696
0-28_split_0,39
0-28_split_1,6
0-28_split_2,47
0-28_split_3,4
0-28_split_4,1716
0-29_split_0,4
0-29_split_3,6
0-30_split_2,206
0-30_split_3,652
0-31_split_4,10
0-32_split_0,325
0-32_split_1,206
0-32_split_2,1103
0-32_split_3,4
0-32_split_4,6
0-33_split_0,7
0-33_split_2,6
0-34_split_0,6
0-34_split_1,430
0-34_split_2,444
0-34_split_3,4
0-34_split_4,83
0-35_split_1,4
0-35_split_2,4603
0-35_split_4,6
0-37_split_0,2
0-37_split_1,342
0-37_split_2,71
0-37_split_3,573
0-37_split_4,3
0-38_split_0,76
0-38_split_2,75
0-38_split_3,36
0-38_split_4,45
0-39_split_3,6
0-39_split_4,4
0-40_split_1,9
0-41_split_0,10
0-41_split_1,271
0-41_split_2,716
0-41_split_3,14
0-41_split_4,140
0-42_split_1,379
0-42_split_2,1043
0-42_split_3,10
0-42_split_4,858
0-43_split_0,97
0-43_split_1,45
0-43_split_2,1151
0-43_split_3,13
0-43_split_4,319
0-44_split_0,95
0-44_split_1,16
0-44_split_2,5
0-44_split_3,65
0-44_split_4,52
0-45_split_0,487
0-45_split_1,841
0-45_split_2,335
0-45_split_3,3278
0-46_split_0,173
0-46_split_1,4
0-46_split_2,270
0-46_split_3,6
0-46_split_4,1100
0-47_split_0,2042
0-47_split_1,4
0-47_split_2,3522
0-47_split_3,599
0-47_split_4,6
0-48_split_0,6
0-48_split_2,4
0-49_split_0,10
0-50_split_0,128
0-50_split_1,17
0-50_split_2,58
0-50_split_3,16
0-50_split_4,17
0-51_split_1,1369
0-51_split_2,2562
0-51_split_3,489
0-51_split_4,2762
0-52_split_3,4
0-52_split_4,5
0-53_split_2,6
0-53_split_3,4
0-54_split_0,505
0-54_split_1,5
0-54_split_2,6
0-54_split_3,247
0-54_split_4,146
0-55_split_0,270
0-55_split_2,4
0-55_split_3,350
0-55_split_4,6
0-56_split_0,109
0-56_split_1,101
0-56_split_2,248
0-56_split_3,842
0-56_split_4,6
0-57_split_3,4
0-57_split_4,6
0-58_split_0,89
0-58_split_2,129
0-58_split_4,33
0-59_split_1,4
0-59_split_2,6
0-60_split_0,75
0-60_split_1,94
0-60_split_2,65
0-60_split_3,1
0-61_split_0,5
0-61_split_3,4
0-62_split_1,131
0-62_split_2,53
0-62_split_3,28
0-62_split_4,16
0-63_split_0,4
0-63_split_1,6
0-63_split_2,108
0-63_split_3,453
0-64_split_0,20
0-64_split_1,8
0-64_split_3,110
0-64_split_4,92
0-65_split_0,415
0-65_split_1,4
0-65_split_2,284
0-65_split_3,5
0-65_split_4,2395
0-66_split_1,125
0-66_split_2,98
0-66_split_3,58
0-67_split_3,6
0-67_split_4,4
0-68_split_2,10
0-68_split_4,177
0-69_split_0,260
0-69_split_1,4
0-69_split_2,51
0-69_split_3,2304
0-69_split_4,6
0-70_split_0,82
0-70_split_1,4
0-70_split_2,4
0-70_split_3,19
0-70_split_4,221
0-71_split_0,1626
0-71_split_1,6
0-71_split_2,4
0-71_split_3,1191
0-71_split_4,1006
0-72_split_0,630
0-72_split_1,4
0-72_split_2,6
0-72_split_3,1258
0-72_split_4,606
0-73_split_0,4
0-73_split_1,381
0-73_split_2,134
0-73_split_3,6
0-73_split_4,530
0-74_split_0,152
0-74_split_1,146
0-74_split_2,228
0-74_split_3,10
0-74_split_4,99
0-75_split_0,12
0-75_split_1,49
0-75_split_2,176
0-75_split_4,152
0-76_split_0,4
0-76_split_4,6
0-77_split_0,983
0-77_split_1,6
0-77_split_2,4
0-77_split_3,176
0-77_split_4,452
0-78_split_0,564
0-78_split_1,93
0-78_split_2,5
0-78_split_3,4
0-78_split_4,562
0-79_split_0,271
0-79_split_1,311
0-79_split_2,10
0-79_split_3,234
0-79_split_4,415
